model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
NeuralNet,realized,common,global,3,630,630,630,630,1.0,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630.0,direct
NeuralNet,realized,common,mean_fold,3,630,630,630,630,1.0,15.399238662309159,24.448883421613903,63.85550788750927,0.29303463635010774,0.31562402586412824,0.47605649463912786,-6.468179513869656,-0.06293561694582998,210.0,direct
Chronos2,realized,common,global,3,630,630,630,630,1.0,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630.0,direct
Chronos2,realized,common,mean_fold,3,630,630,630,630,1.0,16.575806473928782,26.26572747081815,79.92972914542445,0.3163186019527947,0.35308923307304657,0.5453938761711717,-7.730114051273891,-0.07623732730451459,210.0,direct
NeuralNet,realized,model_specific,global,3,630,630,630,630,1.0,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630.0,direct
NeuralNet,realized,model_specific,mean_fold,3,630,630,630,630,1.0,15.399238662309159,24.448883421613903,63.85550788750927,0.29303463635010774,0.31562402586412824,0.47605649463912786,-6.468179513869656,-0.06293561694582998,210.0,direct
Chronos2,realized,model_specific,global,3,630,630,630,630,1.0,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630.0,direct
Chronos2,realized,model_specific,mean_fold,3,630,630,630,630,1.0,16.575806473928782,26.26572747081815,79.92972914542445,0.3163186019527947,0.35308923307304657,0.5453938761711717,-7.730114051273891,-0.07623732730451459,210.0,direct
NeuralNet,conditional,common,global,3,630,630,630,630,1.0,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630.0,direct
NeuralNet,conditional,common,mean_fold,3,630,630,630,630,1.0,15.399238662309159,24.448883421613903,63.85550788750927,0.29303463635010774,0.31562402586412824,0.47605649463912786,-6.468179513869656,-0.06293561694582998,210.0,direct
Chronos2,conditional,common,global,3,630,630,630,630,1.0,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630.0,direct
Chronos2,conditional,common,mean_fold,3,630,630,630,630,1.0,16.575806473928782,26.26572747081815,79.92972914542445,0.3163186019527947,0.35308923307304657,0.5453938761711717,-7.730114051273891,-0.07623732730451459,210.0,direct
NeuralNet,conditional,model_specific,global,3,630,630,630,630,1.0,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630.0,direct
NeuralNet,conditional,model_specific,mean_fold,3,630,630,630,630,1.0,15.399238662309159,24.448883421613903,63.85550788750927,0.29303463635010774,0.31562402586412824,0.47605649463912786,-6.468179513869656,-0.06293561694582998,210.0,direct
Chronos2,conditional,model_specific,global,3,630,630,630,630,1.0,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630.0,direct
Chronos2,conditional,model_specific,mean_fold,3,630,630,630,630,1.0,16.575806473928782,26.26572747081815,79.92972914542445,0.3163186019527947,0.35308923307304657,0.5453938761711717,-7.730114051273891,-0.07623732730451459,210.0,direct
